Datum,Checksum,Aktualnost,Chybi_pocet,Zmena_link_pocet,Ostranit_pocet,Celk_zmen
2020-09-25 17:34:00,6bcd8bd010c5431e3c85e07e1df99bd6,94,2,0,1,3
2020-09-25 17:50:00,5288c74878ac3563101eac58bab908e5,92,3,0,1,4
2020-09-25 18:00:00,2f836f8316efa54acd8ad9284dc0908e,91,3,0,2,5
2020-09-25 18:05:00,c4dbb70862f08f657cfd536b5f6db569,92,2,0,2,4
2020-09-25 18:20:00,c5f1893380ced2c298df8a57bf357ce5,96,2,0,0,2
2020-09-25 18:21:00,78a91acff38f1c6a092f7ea525e323df,94,2,0,1,3
2020-09-25 18:21:00,52b100664b9e52c55e3c74d6be8edf1f,98,1,0,0,1
2020-09-25 18:51:00,0ddce4e8cf6885a2fd8b7ee8bc510ca9,100,0,0,0,0
2020-09-30 23:44:00,44cbcb1ded53e873900ff9ef43c936a8,94,3,0,0,3
2020-09-30 23:51:00,32e195a53d93a372a32dbb779dce70f7,92,6,0,0,6
2020-09-30 23:51:00,c146971c439070136e2f7ec4476e1201,94,6,0,0,6
2020-10-01 00:01:00,1efd0ad49040cd4c052d7ae3794aab47,94,6,0,0,6
2020-10-01 00:03:00,946682d345cade84b2000aee6fb5cb33,94,9,0,0,9
2020-10-01 00:07:00,076caf17c8bc31ce78430174a238c12d,93,3,0,1,4
2020-10-01 00:08:00,d7c28ddb010b39c14e2fac93bcb8fe62,94,3,0,0,3
2020-10-01 00:15:00,1dc304e343857abd9c2cca2e6c76a58e,96,2,0,0,2
2020-10-01 00:22:00,86a65136a518ae1220493524dc0ed52e,96,2,0,0,2
2020-10-01 00:23:00,13fa29f7e2966c207440c6715f9af074,97,2,0,0,2
2020-10-01 02:02:00,b583ce56ac3bc40c1108087f3237d350,100,0,0,0,0
2020-10-01 02:10:00,ede8623100fe9b2e85f4877f40ddb098,96,0,0,2,2
2020-10-01 11:01:00,4c5d97259d027d839ad0efab99ba0456,98,1,0,0,1
2020-10-01 21:10:00,54d36ba423756e3a1c6ea67535261a89,98,2,0,0,2
2020-10-01 21:10:00,05d7ac03556209f989fe37e465a7ee49,97,2,0,0,2
2020-10-02 12:50:00,9c58544c415ec1b605702c62c024780a,90,5,0,1,6
2020-10-02 13:08:00,1228e8fde7a2600e5f1b6c14fb38f46c,90,5,0,1,6
2020-10-02 14:11:00,eb2fa8400b89b55c7a133ec4a1c3d517,90,5,0,1,6
2020-10-02 17:17:00,c6737d621af99450192738004626ccb8,86,4,0,4,8
2020-10-02 17:19:00,fb5f0b6b9c7e94f3720df3e375abd156,83,8,0,3,11
2020-10-02 17:36:00,3519a5f1f977235a2b7bc5e805705c4c,73,12,0,8,20
2020-10-04 22:03:00,846a5430081c0f976920641a2e48521a,91,0,0,11,11
2020-10-04 22:06:00,6760af863c67f6df186062580f7b31ad,89,0,0,11,11
2020-10-04 22:23:00,693077c0af788ba29290d70a16745673,62,22,0,0,22
2020-10-04 22:29:00,e968d6eec3b1ce27089b9b5ca2936eea,92,0,0,11,11
2020-10-04 22:33:00,6142140790dffa41196a6f977c323b7f,94,0,0,11,11
2020-10-04 22:33:00,39faa57f896f166e76bc8d5c1540a995,93,0,0,11,11
2020-10-04 22:43:00,9cf8a7a37c9939fd5b43f06ebff344dd,82,12,0,11,23
2020-10-04 22:45:00,1e753e8f6c5d649d42c3dcb40e24dd49,82,12,0,11,23
2020-10-04 22:48:00,26e32f38a7756387a4a9c9c3d9d07d9b,84,12,0,11,23
2020-10-04 22:54:00,6ac04d912f2ef96e9d08f7d78de25a8b,93,0,0,11,11
2020-10-04 22:56:00,5c315dd80c0a3ccd94f8a081f665202e,92,0,0,11,11
2020-10-04 23:36:00,f50f89e64ddd427c03194acc04888e6b,100,0,0,0,0
2020-10-04 23:37:00,6d52f97954bd347736c7cf1d6c5358d8,100,0,0,0,0
2020-10-04 23:37:00,48d55f9e028d90859455aac7e2d83903,92,0,0,11,11
2020-10-04 23:39:00,42a32bce08f257e7fd58c56921009d0c,92,0,0,11,11
2020-10-06 15:11:00,4aab09b3204eed774795b5896c3d799f,100,0,0,0,0
2020-10-07 15:11:00,4f559549fb2ca96961fbecc8e493d215,100,0,0,0,0
2020-10-07 16:21:00,bcbe5d4c48f8067d0fb08761d5b1c2d7,100,0,0,0,0
